state,county,city,fipscode,STNID,airport
AZ,Maricopa,Phoenix,04013,722780-23183,PHOENIX SKY HARBOR INTL AIRPORT
AZ,Pima,Tucson,04019,722740-23160,TUCSON INTERNATIONAL AIRPORT
CA,Kern,Bakersfield,06029,723840-23155,MEADOWS FIELD AIRPORT
CA,Fresno,Fresno,06019,723890-93193,FRESNO YOSEMITE INTERNATIONAL AIRPORT
CA,Los Angeles,Los Angeles,06037,722950-23174,LOS ANGELES INTERNATIONAL AIRPORT
CA,Stanislaus,Modesto,06099,724926-23258,MDSTO CTY-CO H SHAM FD APT
CO,Adams,Denver,08001,725650-03017,DENVER INTERNATIONAL AIRPORT
IL,Cook,Chicago,17031,725300-94846,CHICAGO O'HARE INTERNATIONAL AIRPORT
MI,Wayne,Detroit,26163,725370-94847,DETROIT METRO WAYNE COUNTY AIRPORT
MI,Kent,Grand Rapids,26081,726350-94860,GERALD R FORD INTERNATIONAL AIRPORT
NE,Douglas,Omaha,31055,725500-14942,EPPLEY AIRFIELD AIRPORT
NM,Bernalillo,Albuquerque,35001,723650-23050,ALBUQUERQUE INTL SUNPORT AIRPORT
NY,Nassau,Hempstead,36059,744860-94789,JOHN F KENNEDY INTERNATIONAL AIRPORT
OH,Cuyahoga,Cleveland,39035,725240-14820,CLEVELAND-HOPKINS INTERNATIONAL AP
OK,Oklahoma,Oklahoma City,40109,723530-13967,WILL ROGERS WORLD AIRPORT
OK,Tulsa,Tulsa,40143,723560-13968,TULSA INTERNATIONAL AIRPORT
TN,Shelby,Memphis,47157,723340-13893,MEMPHIS INTERNATIONAL AIRPORT
TX,Dallas,Dallas & Ft. Worth,48113,722590-03927,DALLAS/FT WORTH INTERNATIONAL AP
TX,El Paso,El Paso,48141,722700-23044,EL PASO INTERNATIONAL AIRPORT
TX,Harris,Houston,48201,722430-12960,G BUSH INTERCONTINENTAL AP/HOUSTON AP